episode_index,length_frames,length_seconds
426,1589,52.967
427,1863,62.1
429,3517,117.233
431,2828,94.267
432,2256,75.2
433,1727,57.567
434,2325,77.5
435,1773,59.1
436,2248,74.933
437,1819,60.633
438,1914,63.8
439,1833,61.1
440,2637,87.9
441,2163,72.1
442,1709,56.967
443,1897,63.233
444,1621,54.033
446,1652,55.067
447,2829,94.3
448,1617,53.9
451,3087,102.9
452,2444,81.467
453,2257,75.233
454,1448,48.267
455,1672,55.733
456,1503,50.1
459,1498,49.933
460,1346,44.867
461,1464,48.8
465,1554,51.8
466,1633,54.433
467,1507,50.233
468,2503,83.433
469,2444,81.467
470,2469,82.3
471,2162,72.067
472,1812,60.4
473,1974,65.8
474,1309,43.633
477,1790,59.667
478,2057,68.567
479,2372,79.067
480,2285,76.167
482,2146,71.533
483,1791,59.7
484,3004,100.133
485,1692,56.4
486,1851,61.7
487,1198,39.933
488,3198,106.6
493,1394,46.467
494,1800,60.0
495,1636,54.533
499,1816,60.533
500,1695,56.5
501,2188,72.933
506,1878,62.6
507,2623,87.433
508,2548,84.933
509,2336,77.867
510,2881,96.033
511,3416,113.867
513,2263,75.433
514,3444,114.8
516,1179,39.3
517,1389,46.3
518,1880,62.667
519,2697,89.9
520,1556,51.867
521,1829,60.967
522,1435,47.833
524,1755,58.5
525,1610,53.667
526,1744,58.133
528,1788,59.6
529,1970,65.667
530,2024,67.467
532,1903,63.433
533,1777,59.233
534,1577,52.567
535,1937,64.567
536,1723,57.433
537,1872,62.4
538,1670,55.667
539,1620,54.0
540,1423,47.433
541,3171,105.7
544,3044,101.467
545,1702,56.733
546,1396,46.533
547,1511,50.367
548,1781,59.367
549,1621,54.033
550,1500,50.0
555,3215,107.167
557,1681,56.033
558,1668,55.6
559,1990,66.333
561,3301,110.033
563,1607,53.567
564,1664,55.467
565,1605,53.5
566,2747,91.567
567,1449,48.3
568,1754,58.467
569,1902,63.4
570,2013,67.1
571,1463,48.767
572,1715,57.167
573,1733,57.767
574,1415,47.167
575,1252,41.733
576,1206,40.2
579,1944,64.8
580,2369,78.967
581,1513,50.433
582,1608,53.6
583,2402,80.067
584,2835,94.5
585,3344,111.467
586,1707,56.9
587,1721,57.367
588,1561,52.033
589,1382,46.067
590,1422,47.4
591,1204,40.133
592,3431,114.367
593,3231,107.7
594,1638,54.6
595,1654,55.133
596,1677,55.9
600,1465,48.833
601,1606,53.533
602,1732,57.733
605,1710,57.0
606,1608,53.6
607,1585,52.833
608,1283,42.767
609,1753,58.433
610,1600,53.333
611,1793,59.767
612,1812,60.4
613,1608,53.6
614,1922,64.067
615,1350,45.0
616,1494,49.8
617,1344,44.8
618,1395,46.5
619,1660,55.333
620,1931,64.367
621,1228,40.933
622,2220,74.0
623,2064,68.8
624,1530,51.0
625,2017,67.233
626,1146,38.2
627,1318,43.933
628,1650,55.0
629,2363,78.767
630,1343,44.767
631,1567,52.233
632,1620,54.0
633,1290,43.0
634,1919,63.967
635,1192,39.733
636,1684,56.133
637,1967,65.567
638,1588,52.933
639,1535,51.167
640,1503,50.1
641,1929,64.3
642,1607,53.567
643,1554,51.8
644,2224,74.133
645,1560,52.0
646,1342,44.733
647,1546,51.533
648,2018,67.267
649,1751,58.367
650,1594,53.133
651,1687,56.233
652,1661,55.367
653,1876,62.533
654,1781,59.367
655,1197,39.9
656,1652,55.067
657,1704,56.8
658,1994,66.467
659,1939,64.633
660,1377,45.9
661,1687,56.233
662,1872,62.4
663,1566,52.2
664,1456,48.533
665,2333,77.767
666,1630,54.333
667,1995,66.5
668,1752,58.4
669,2141,71.367
670,2401,80.033
671,3072,102.4
672,1722,57.4
673,1989,66.3
674,1605,53.5
675,1531,51.033
676,1987,66.233
677,1530,51.0
678,1448,48.267
679,1957,65.233
680,1757,58.567
681,1747,58.233
682,1753,58.433
683,1722,57.4
684,1422,47.4
685,1853,61.767
686,1545,51.5
687,2367,78.9
688,1594,53.133
689,1406,46.867
690,1930,64.333
691,1643,54.767
692,1621,54.033
693,1674,55.8
694,1458,48.6
695,1556,51.867
696,1986,66.2
697,1674,55.8
698,1671,55.7
699,1923,64.1
700,1856,61.867
701,1396,46.533
702,2541,84.7
703,1556,51.867
704,1960,65.333
705,1610,53.667
706,1452,48.4
707,1470,49.0
708,1546,51.533
709,1303,43.433
710,1551,51.7
711,1178,39.267
712,1643,54.767
713,1246,41.533
714,1655,55.167
715,1446,48.2
716,1738,57.933
717,2179,72.633
718,1931,64.367
719,1532,51.067
720,1714,57.133
721,1894,63.133
722,1639,54.633
723,1706,56.867
724,1883,62.767
725,1248,41.6
726,1826,60.867
727,1434,47.8
728,1764,58.8
729,2162,72.067
730,1647,54.9
731,1753,58.433
732,1455,48.5
733,1813,60.433
734,1718,57.267
735,2102,70.067
736,1564,52.133
737,1852,61.733
738,1460,48.667
739,1856,61.867
740,2129,70.967
741,1320,44.0
742,1942,64.733
743,1818,60.6
744,1608,53.6
745,1524,50.8
746,1769,58.967
747,1279,42.633
748,1864,62.133
749,1360,45.333
750,1827,60.9
751,1900,63.333
752,1713,57.1
753,1278,42.6
754,1769,58.967
755,1903,63.433
756,1687,56.233
757,1595,53.167
758,2054,68.467
759,1463,48.767
760,2132,71.067
761,1491,49.7
762,1211,40.367
763,1404,46.8
764,1824,60.8
765,1745,58.167
766,1256,41.867
767,1923,64.1
768,1836,61.2
769,1261,42.033
770,1522,50.733
771,1954,65.133
772,1767,58.9
773,1705,56.833
774,1459,48.633
775,1837,61.233
776,1662,55.4
777,1399,46.633
778,1540,51.333
779,2288,76.267
780,1382,46.067
781,1736,57.867
782,1661,55.367
783,1336,44.533
784,1553,51.767
785,1593,53.1
786,1195,39.833
787,1805,60.167
788,2089,69.633
789,1612,53.733
790,1686,56.2
791,1768,58.933
792,1960,65.333
793,2014,67.133
794,1935,64.5
795,1755,58.5
796,1350,45.0
797,2177,72.567
798,1604,53.467
799,1597,53.233
800,1786,59.533
801,2015,67.167
802,1598,53.267
803,1822,60.733
804,1515,50.5
805,2053,68.433
806,1779,59.3
807,2105,70.167
808,1986,66.2
809,1222,40.733
810,1727,57.567
811,1815,60.5
