episode_index,length_frames,length_seconds
374,1478,49.267
375,2834,94.467
376,1561,52.033
377,1470,49.0
378,1586,52.867
379,1779,59.3
380,1811,60.367
381,3558,118.6
382,1791,59.7
383,1788,59.6
384,1667,55.567
385,1745,58.167
386,1604,53.467
387,1824,60.8
388,2028,67.6
389,3169,105.633
390,1646,54.867
391,1579,52.633
392,2229,74.3
393,3532,117.733
394,3138,104.6
395,1800,60.0
396,1976,65.867
397,1775,59.167
398,1577,52.567
399,1717,57.233
400,1793,59.767
401,1926,64.2
402,1622,54.067
403,1435,47.833
404,2924,97.467
405,2106,70.2
406,1850,61.667
407,1957,65.233
408,1513,50.433
409,1872,62.4
410,1546,51.533
411,1730,57.667
412,1518,50.6
413,3447,114.9
414,1904,63.467
415,2140,71.333
416,3278,109.267
417,1722,57.4
418,1656,55.2
419,2380,79.333
420,1606,53.533
421,1995,66.5
422,2291,76.367
423,3145,104.833
424,2784,92.8
425,1604,53.467
426,1942,64.733
427,2223,74.1
428,1894,63.133
429,1588,52.933
430,2250,75.0
431,1968,65.6
432,1986,66.2
433,3524,117.467
434,2353,78.433
435,1994,66.467
436,1462,48.733
437,2026,67.533
438,2135,71.167
439,1567,52.233
440,1660,55.333
441,1526,50.867
442,2401,80.033
443,2326,77.533
444,1983,66.1
445,1974,65.8
446,1718,57.267
447,1778,59.267
448,2089,69.633
449,1658,55.267
450,1459,48.633
451,1480,49.333
452,1753,58.433
453,2069,68.967
454,1579,52.633
455,1494,49.8
456,1523,50.767
457,1961,65.367
458,1704,56.8
459,1931,64.367
460,1749,58.3
461,1406,46.867
462,1605,53.5
463,1655,55.167
464,1831,61.033
465,1619,53.967
466,1476,49.2
467,1658,55.267
468,1720,57.333
469,1480,49.333
470,1750,58.333
471,1815,60.5
472,2075,69.167
473,1587,52.9
474,1715,57.167
475,2115,70.5
476,1773,59.1
477,1808,60.267
478,1494,49.8
479,1687,56.233
480,2171,72.367
481,1872,62.4
482,1636,54.533
483,2021,67.367
484,1938,64.6
485,1458,48.6
486,1996,66.533
487,1855,61.833
488,1524,50.8
489,2041,68.033
490,2132,71.067
491,1891,63.033
492,1671,55.7
493,1779,59.3
494,2367,78.9
495,1874,62.467
496,2171,72.367
497,1450,48.333
498,1427,47.567
499,1570,52.333
500,1353,45.1
501,2288,76.267
502,2017,67.233
503,1529,50.967
504,2222,74.067
505,1454,48.467
506,1503,50.1
507,1448,48.267
508,1396,46.533
509,1686,56.2
510,1489,49.633
511,1445,48.167
512,1607,53.567
513,1710,57.0
514,1673,55.767
515,1784,59.467
516,1480,49.333
517,1542,51.4
518,1876,62.533
519,1765,58.833
520,1537,51.233
521,1350,45.0
522,1486,49.533
523,1515,50.5
524,1705,56.833
525,1542,51.4
526,1740,58.0
